ArachneEntityID,Gazetteerid
1060409,2338558
1060411,2359949
1060412,2338558
1060413,2338558
1060414,2338558
1060415,2338558
1060416,2338558
1060417,2338558
1060418,2338558
1060419,2338558
1060420,2338558
1060421,2338558
1060422,2338558
1060423,2338558
1060424,2338558
1060425,2338558
1060426,2338558
1060427,2338558
1060428,2338558
1060429,2338558
1060433,2178775
1060435,2178775
1060444,2118415
1060445,2118415
1060449,2094099
1060463,2323295
1060482,2287588
1060483,2287588
1060530,2042806
1060531,2042806
1060534,2042806
1060538,2042806
1060552,2042806
1060568,2042806
1060603,2042627
1060704,2072915
1060727,2280298
1060772,2280298
1060773,2280298
1060783,2282606
1060838,2323295
1060839,2283134
1060840,2283134
1060841,2283134
1060842,2283134
1060843,2283134
1060844,2283134
1060845,2283134
1060846,2283134
1060847,2283134
1060848,2283134
1060861,2320170
1060862,2320170
1060868,2320170
1060871,2320170
1060899,2320170
1060941,2320170
1060942,2320170
1060978,2320170
1060979,2320170
1061047,2295310
1061054,2295310
1061059,2295310
1061078,2295310
1061193,2299102
1061195,2181105
1061200,2181105
1061201,2299102
1061202,2299102
1061203,2299102
1061204,2299102
1061205,2070134
1061206,2299102
1061207,2299102
1061208,2299102
1061209,2299102
1061210,2299102
1061211,2299102
1061213,2299102
1061214,2299102
1061215,2299102
1061216,2299102
1061217,2299102
1061218,2299102
1061219,2299102
1061220,2299102
1061221,2299102
1061222,2299102
1061223,2299102
1061224,2299102
1061225,2299102
1061226,2299102
1061227,2299102
1061228,2299102
1061229,2299102
1061230,2101087
1061231,2101087
1061232,2101087
1061233,2086933
1061237,2181105
1061255,2070134
1061256,2070134
1061261,2290404
1061268,2290409
1061281,2299102
1061286,2299660
1061289,2070134
1061290,2095836
1061298,2307623
1061302,2282705
1061309,2070134
1061314,2299102
1061315,2299102
1061318,2290400
1061324,2281840
1061329,2181121
1061330,2070134
1061334,2070134
1061346,2070134
1061348,2281922
1061352,2070134
1061355,2070134
1061359,2299660
1061360,2307623
1061363,2106395
1061379,2070134
1061384,2293502
1061385,2293502
1061389,2101757
1061393,2070134
1061394,2070134
1061397,2070134
1061406,2070134
1061409,2070134
1061418,2070134
1061420,2086933
1061421,2070134
1061423,2070134
1061426,2307594
1061427,2307594
1061429,2070134
1061448,2070134
1061454,2070134
1061457,2347936
1061478,2106395
1061482,2307623
1061490,2307623
1061495,2070134
1061496,2299660
1061498,2070134
1061501,2307623
1061505,2281922
1061507,2104029
1061510,2307623
1061517,2281922
1061521,2296354
1061524,2070134
1061527,2100858
1061528,2070134
1061539,2307623
1061540,2070134
1061541,2101335
1061542,2070134
1061549,2307623
1061552,2307623
1061565,2070134
1061567,2101335
1061573,2070134
1061576,2070134
1061587,2101335
1061589,2299102
1061598,2070134
1061605,2070134
1061613,2070134
1061616,2070134
1061622,2070134
1061627,2101335
1061640,2299660
1061641,2070134
1061642,2070134
1061643,2070134
1061647,2307594
1061652,2307594
1061659,2281922
1061661,2281922
1061678,2070134
1061683,2181105
1061691,2104572
1061692,2104572
1061693,2070134
1061694,2180634
1061695,2180634
1061707,2087011
1061710,2109094
1061748,2070134
1061784,2080907
1061904,2323295
1061909,2180705
1061940,2361234
1061941,2361234
1061966,2298653
1061978,2320168
1061994,2072886
1061995,2072886
1061999,2323295
1062010,2109094
1062011,2109094
1062089,2337538
1062090,2337538
1062091,2337538
1062092,2337538
1062093,2337538
1062094,2337538
1062095,2337538
1062096,2337538
1062117,2337538
1062118,2337538
1062126,2337538
1062127,2337538
1062137,2337538
1062172,2337538
1062199,2337538
1062200,2337538
1062201,2337538
1062202,2337538
1062203,2337538
1062205,2337538
1062217,2337538
1062261,2337538
1062278,2337538
1062295,2281803
1062297,2281803
1062298,2281803
1062302,2281803
1062303,2281803
1062305,2281803
1062309,2281803
1062310,2281803
1062312,2281803
1062313,2281803
1062315,2281803
1062317,2105191
1062319,2281803
1062320,2281803
1062321,2281803
1062322,2281803
1062323,2281803
1062324,2105191
1062330,2281803
1062332,2281803
1062334,2281803
1062337,2103120
1062346,2281803
1062352,2281803
1062358,2281803
1062359,2281803
1062362,2103120
1062368,2281803
1062369,2281803
1062370,2105191
1062371,2281803
1062391,2323295
1062443,2281803
1062444,2281803
1062446,2281803
1062449,2087383
1062451,2087383
1062453,2281803
1062462,2087383
1062463,2087383
1062474,2323295
1062487,2087383
1062496,2087383
1062499,2323295
1062502,2285700
1062507,2087383
1062517,2087383
1062518,2087383
1062538,2087383
1062545,2087383
1062548,2087383
1062549,2087383
1062550,2087383
1062551,2087383
1062581,2087383
1062617,2299102
1062654,2285315
1062660,2320168
1062673,2087383
1062732,2323295
1062934,2178745
1062958,2338558
1062963,2070134
1062983,2051794
1062991,2051380
1062993,2051380
1063019,2051380
1063020,2051380
1063021,2051380
1063059,2323295
1063131,2338677
1063166,2180639
1063168,2180646
1063181,2180653
1063198,2307623
1063199,2119226
1063323,2298529
1063358,2281922
1063360,2070134
1063361,2070134
1063362,2070134
1063363,2299102
1063365,2298529
1063372,2299102
1063373,2070134
1063382,2323295
1063385,2070134
1063393,2070134
1063398,2323295
1063448,2323295
1063453,2042806
1063455,2323295
1063457,2323295
1063460,2323295
1063461,2070134
1063466,2323295
1063469,2323295
1063471,2323295
1063486,2281530
1063498,2323295
1063499,2345168
1063500,2180646
1063567,2068499
1063573,2280283
1063626,2072039
1063627,2071998
1063652,2180646
1063662,2287712
1063673,2299102
1063674,2070134
1063675,2307623
1063685,2338719
1063885,2361217
1063892,2361217
1063926,2098310
1063932,2365651
1063954,2093799
1063985,2087981
1064127,2178782
1064138,2178782
1064139,2178782
1064140,2178782
1064141,2178782
1064142,2178782
1064143,2178782
1064171,2323295
1064172,2323295
1064173,2323295
1064174,2323295
1064175,2323295
1064176,2323295
1064177,2323295
1064178,2323295
1064179,2323295
1064180,2323295
1064181,2323295
1064182,2323295
1064183,2323295
1064184,2323295
1064185,2323295
1064186,2323295
1064187,2323295
1064188,2323295
1064189,2323295
1064190,2323295
1064191,2323295
1064192,2323295
1064193,2323295
1064194,2323295
1064195,2323295
1064196,2323295
1064197,2323295
1064198,2323295
1064199,2323295
1064200,2323295
1064201,2323295
1064202,2323295
1064203,2323295
1064204,2323295
1064205,2323295
1064206,2323295
1064207,2323295
1064208,2323295
1064209,2323295
1064210,2323295
1064211,2323295
1064212,2323295
1064213,2323295
1064214,2323295
1064215,2323295
1064216,2323295
1064217,2323295
1064218,2323295
1064219,2323295
1064220,2323295
1064221,2323295
1064222,2323295
1064223,2323295
1064224,2323295
1064225,2323295
1064226,2323295
1064227,2323295
1064228,2323295
1064229,2323295
1064230,2323295
1064231,2323295
1064232,2323295
1064233,2323295
1064234,2323295
1064235,2323295
1064236,2323295
1064237,2323295
1064238,2323295
1064239,2323295
1064240,2323295
1064241,2323295
1064242,2323295
1064243,2323295
1064244,2323295
1064245,2323295
1064246,2323295
1064247,2323295
1064248,2323295
1064249,2323295
1064250,2323295
1064251,2323295
1064252,2323295
1064253,2323295
1064254,2323295
1064255,2323295
1064256,2323295
1064257,2323295
1064258,2323295
1064259,2323295
1064260,2323295
1064261,2323295
1064262,2323295
1064263,2323295
1064264,2323295
1064265,2323295
1064266,2323295
1064267,2323295
1064268,2323295
1064269,2323295
1064270,2323295
1064271,2323295
1064272,2323295
1064273,2323295
1064274,2323295
1064275,2323295
1064276,2323295
1064277,2323295
1064278,2323295
1064279,2323295
1064280,2323295
1064281,2323295
1064282,2323295
1064283,2323295
1064284,2323295
1064285,2323295
1064286,2323295
1064287,2323295
1064288,2323295
1064289,2323295
1064290,2323295
1064291,2323295
1064292,2323295
1064293,2323295
1064294,2323295
1064295,2323295
1064296,2323295
1064297,2323295
1064298,2323295
1064340,2180646
1064357,2323295
1064403,2180614
1064412,2101087
1064420,2290409
1064421,2290409
1064422,2290409
1064423,2290409
1064428,2116326
1064435,2097009
1064437,2097009
1064939,2317211
1064941,2317211
1064942,2320125
1065046,2118415
1065048,2118415
1065049,2118415
1065050,2118415
