Site	Latitude	Longitude	Location	Country	Province	Material	Bibliography
Aba Vela	43.938661	15.164293	In the Zadar islands	Croatia	Dalmatia	Limestone, used locally	Škegro 2006: 161-162
Abdera	40.949722	24.983056	Just north of Abdera	Greece	Macedonia	White marble, used locally	TIR Philippi 35
Abkuk	37.279444	27.582500	Between villages of Abkuk (ancient Basilicus) and Asin (ancient Iasos),	Turkey	Asia	Red-pink and white marble (cipollino rosso), used locally and exported regionally and inter-regionally	Mielsch 1985: 46; Gnoli 1988: 243-245; Monna and Pensabene 1977:109-113; Andreoli et al. 2002
Abu Ras	30.968888	29.651111	On the coast just north of the western end of Lake Mareotis, west of Alexandria	Egypt	Aegyptus	Limestone, used locally	J. Röder 1967; Klemm and Klemm2008: 36-39
Acque Albule	41.954722	12.745833	Near ancient Tibur	Italy	Italia I	Travertine, used locally	Mari 1991; Veloccia Rinaldi 1991
Adloun	33.403278	35.273498	16 km north of Tyre	Lebanon	Syria	Gypsum, limestone and sandstone, used locally in the Roman period	Badawi 2002
Aegina	37.753611	23.426389	North of Aegina	Greece	Achaia	Limestone, used locally	Barrington Atlas 59 (A3)
Aetos	38.011532	24.446553	South-eastern Euboea	Greece	Achaia	Green-grey and white streaked marble (cipollino); used locally from the Classical period but only exported widely in the Roman Imperial	Mielsch 1985: 58; Gnoli 1988: 181-183; Lambraki 1980: 31-62; Hankey1965; Pensabene 1998b; Sutherland and Sutherland 2002; Tsoflias 1982; Chidiroglou 2009
Agios Minas	37.082500	25.200278	Central Paros	Greece	Achaia	White marble (Paros-3), used locally and exported regionally and inter- regionally	Lepsius 1890; Herz 2000; Schilardi2000
Agios Nikolaos	35.188056	25.717222	Eastern Crete	Greece	Creta etCyrene	White-grey marble, used locally	Harrison 1990
Agios Pneuma	40.952222	23.794444	Near Amphipolis	Greece	Macedonia	Marble, used locally	TIR Philippi 18
Agrileza	37.738056	24.053611	Near Thorikos, Attica	Greece	Achaia	Marble, used locally	Higgins and Higgins 1996
Ahmetli Köyu	38.058740	27.395540	13 km north of Ephesos	Turkey	Asia	White marble, used locally	Prochaska and Grillo 2009; Yavuz, Bruno and Attanasio 2011
Aime	45.557103	6.653404	South-east of LakeGeneva	France	Alpes Graiae et Poeninae	White marble, used locally, perhaps regionally	Braemer 1992
Ain Demna	37.234444	9.993889	East of Bizerte	Tunisia	AfricaProconsularis	Sandstone, used locally	Slim et al. 2004: 197
Ain el Merja	37.257368	10.040147	Near Cap Zebib	Tunisia	AfricaProconsularis	Sandstone, used locally	Slim et al. 2004: 201
Ain el-Ksir	36.492500	8.576667	3 km from Chemtou	Tunisia	AfricaProconsularis	Black marble (nero antico), used locally, perhaps regionally	Lazzarini and Sangati 2004: 76-77; Lazzarini, Agus and Cara 2006
Ain-Schkor	34.073056	-5.553611	Near Volubilis	Morocco	MauretaniaTingitana	Sandstone, used locally	Feray and Paskoff 1966; Dworakowska 1983: 13-14
Ain-Smara	36.357222	6.618611	Close to Constantine	Algeria	Numidia	Several varieties of alabaster (alabastri di Constantina), used locally and exported regionally	Toubal 1995: 57-61
Akhisar	38.918889	27.837500	Ancient Thyatira	Turkey	Asia	A variety of banded alabaster similar to Egyptian onyx, used in Archaic period and later, and exported in Roman period; and a fine-grained grey-white marble, used locally in the Roman period	Colak and Lazzarini 2002
Akrini	40.433256	21.903597	South-west of Aigeai, near Kozani	Greece	Macedonia	Multi-coloured marble breccia (breccia policroma della Vittoria), used locally and exported inter-regionally	Lazzarini 2007: 245-252
Akte	37.932778	23.637222	In the Piraeus, Attica	Greece	Achaia	Soft white limestone, used locally	Mauzy 2006: 46
Albox	37.389722	-2.147500	North-east of Macael	Spain	Tarraconensis	Travertine, used locally	Canto 1977-1978
Alconera	38.396389	-6.476389	Near Badajoz	Spain	Baetica	Three varieties of marble, one black (negra pinta), one grey (gris pinta), and one similar to pavonazzetto (serrancolin), as well as a pink limestone (rosa ajamonado), all used locally and exported regionally	Canto 1977-78: 178; Grünhagen 1978:304
Aldborough	54.091526	-1.380744	Near Boroughbridge, west of York	Britain	Britannia	Limestone, used locally	Pearson 2006
Alhaurn de laTorre	36.663611	-4.561667	Near Alhaurín de laTorre, Malaga province	Spain	Baetica	Marble, used locally in the Roman Imperial period and probably expored regionally	Cisneros Cunchillos 1988
Alhaurn elGrande	36.642222	-4.689444	Near Alhaurín el Grande, Malaga province	Spain	Baetica	Marble, used locally in the Roman Imperial period and probably expored regionally	Cisneros Cunchillos 1989
Alika	36.461111	22.439167	On the Mani Peninsula, near Kyparissos	Greece	Achaia	Dark-grey or black limestone, used locally in the Roman Imperial and probably exported regionally	Bruno and Pallante 2002
