FID,the_geom,OBJECTID,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,PROVINCE10,PROVINCE_1,Shape_Leng,Source,Major_or_M,Known_or_a,Name,timeperiod,pid,en_name,Lat,Lon,featuretyp,awmc_mod,awmc_impor,awmc_class,creator,notes,timeperi_1
ba_roads_clean.1,"MULTILINESTRING ((26.97074000000066 39.532520000000716, 26.97988000000089 39.545309999999574, 26.98895000000084 39.55806999999908, 26.994520000000193 39.56417999999945, 26.998920000000112 39.570900000000734, 27.00520999999935 39.584129999999334, 27.01168999999942 39.595960000000616, 27.01787999999948 39.60353000000026, 27.028469999999402 39.612189999999885, 27.045070000000123 39.6234800000002, 27.05516999999969 39.63561999999922, 27.06576999999936 39.644280000000435, 27.077269999999828 39.65300999999994, 27.0904900000005 39.66259999999977, 27.101000000000568 39.67194999999998, 27.113810000000854 39.6779700000007, 27.127829999999506 39.681979999999385, 27.141649999999515 39.68737999999945, 27.1575799999992 39.69717999999921, 27.177540000000647 39.710849999999425, 27.190189999999404 39.72458999999981, 27.199629999999217 39.73524999999984, 27.209790000000908 39.7473800000007, 27.213630000000308 39.75897000000083, 27.217959999999948 39.76708999999943, 27.224109999999314 39.77535, 27.232959999999366 39.78384000000011, 27.243810000000053 39.79109000000062, 27.255569999999466 39.79841999999928, 27.283299999999144 39.80918000000031, 27.314839999999094 39.81884000000002, 27.33936 39.82651000000084, 27.363690000000133 39.835559999999475, 27.381810000000826 39.84338000000031, 27.394790000000285 39.8486699999994, 27.40025000000071 39.85546000000079, 27.405570000000864 39.86998999999935, 27.404549999999233 39.88399999999996, 27.40796000000057 39.89907999999929, 27.40834000000001 39.909680000000776, 27.410610000000815 39.91972999999973, 27.40978999999976 39.932349999999246, 27.41635999999926 39.93781999999919, 27.427649999999744 39.94225999999992, 27.436850000000106 39.94865000000033, 27.446760000000836 39.95650000000023, 27.45485999999994 39.964200000000346, 27.466780000000654 39.970810000000654, 27.478800000000774 39.97671000000088, 27.496540000000095 39.98097000000058, 27.511290000000315 39.98709000000048, 27.525219999999536 39.992430000000184, 27.533530000000724 39.99874000000091, 27.53895999999986 40.00712000000027))",663,0,0,0,0,0,0,0,1.17664643,Bamap56,0,0,,RL,,,,,,0,0,0,rbelange,,R
ba_roads_clean.2,"MULTILINESTRING ((27.889750000000276 39.637259999999515, 27.898849999999698 39.64795000000049, 27.909050000000207 39.66047000000083, 27.920260000000837 39.671759999999324, 27.934740000000602 39.68395000000055, 27.945289999999716 39.693880000000775, 27.95684000000074 39.70257999999927, 27.968310000000315 39.71192999999943, 27.98070999999993 39.72069000000022, 27.989190000000235 39.73372000000023, 28.001019999999755 39.7469999999995, 28.007670000000928 39.76120000000094, 28.01531000000068 39.76764000000014, 28.02848000000091 39.777110000000846, 28.043250000000683 39.78735000000063, 28.0554300000004 39.79803999999979, 28.070540000000733 39.80568999999929, 28.08170000000058 39.81108999999935, 28.094380000000456 39.817900000000066, 28.106379999999263 39.82335000000069, 28.117309999999634 39.830690000000686, 28.126720000000205 39.83660000000066, 28.131709999999714 39.84413999999924, 28.13409999999942 39.85215000000062, 28.140600000000745 39.86110000000008, 28.14635000000095 39.86935000000091, 28.159279999999853 39.87421999999975))",667,0,0,0,0,0,0,0,0.53549054,BAmap56,1,1,,RL,,,,,,0,0,0,rbelange,,R
ba_roads_clean.3,"MULTILINESTRING ((27.785310024070498 39.00323481025066, 27.787660000000074 39.02418000000034, 27.78933999999947 39.03905999999927, 27.791470000000174 39.0504600000005, 27.791909999999973 39.061030000000756, 27.790559999999516 39.071459999999206, 27.794560000000217 39.0893300000007, 27.791429999999366 39.10663999999997, 27.790789999999163 39.118529999999794, 27.789170000000126 39.13104999999996, 27.786480000000665 39.14487999999989, 27.784680000000776 39.158789999999556, 27.783779999999865 39.17276999999933, 27.801470000000336 39.17555999999979, 27.819779999999923 39.18050000000051, 27.835779999999488 39.18947999999921, 27.851960000000076 39.19706000000042, 27.860720000000697 39.20616999999959, 27.875480000000664 39.21785000000085, 27.888639999999214 39.22799999999921, 27.89903000000055 39.23863999999958, 27.90780000000092 39.24774000000076, 27.927340000000243 39.264699999999834, 27.938009999999906 39.28026999999935, 27.948959999999772 39.293760000000475, 27.95758000000035 39.304260000000795, 27.967119999999397 39.321850000000325, 27.975850000000662 39.33868000000086, 27.97938000000073 39.35369999999966, 27.984080000000233 39.36671000000035, 27.984940000000336 39.38855999999953, 27.98688000000044 39.40908999999931, 27.98595000000023 39.427659999999435, 27.978100000000325 39.446739999999465, 27.966909999999245 39.4634700000006, 27.956159999999727 39.47671000000082, 27.94757000000027 39.49433999999934, 27.935910000000206 39.507519999999204, 27.92523000000085 39.5200600000008, 27.916540000000168 39.53838999999971, 27.90999000000022 39.55406000000039, 27.901910000000612 39.56751000000088, 27.898769999999843 39.57782000000037, 27.894560000000695 39.589449999999545, 27.892770000000382 39.603390000000275, 27.88827999999927 39.617109999999286, 27.889750000000276 39.637259999999515))",667,0,0,0,0,0,0,0,0.53549054,BAmap56,1,1,,RL,,,,,,0,0,0,rbelange,,R
ba_roads_clean.4,"MULTILINESTRING ((26.332179999999425 39.50266999999991, 26.315889999999854 39.50440999999961, 26.29294999999911 39.50552000000067, 26.289650000000734 39.510430000000326, 26.287909999999215 39.51613999999972, 26.283670000000825 39.52161999999964, 26.276110000000756 39.526790000000005, 26.263339999999516 39.52753999999919, 26.249209999999948 39.52620999999999, 26.23530000000028 39.52880999999985, 26.219300000000715 39.528589999999895, 26.201849999999467 39.52693000000005, 26.186780000000113 39.52614999999963, 26.17474000000044 39.5276099999993, 26.16736999999921 39.53147999999976, 26.158750000000623 39.53261999999995, 26.1462800000009 39.5314199999994, 26.135580000000232 39.52974000000006, 26.126440000000002 39.528870000000154, 26.11854999999929 39.530720000000656, 26.113670000000695 39.53483000000057, 26.10942000000074 39.540300000000684, 26.10764999999998 39.54601000000008, 26.10599999999988 39.55631000000005, 26.105799999999476 39.5628300000007, 26.107159999999567 39.57014999999956, 26.10975999999937 39.58020000000033, 26.114449999999124 39.587840000000256, 26.124540000000707 39.59339000000011, 26.13192999999967 39.599980000000926, 26.142449999999485 39.60817999999938, 26.151519999999437 39.62016000000045, 26.158400000000256 39.629970000000014, 26.161130000000355 39.64460999999949, 26.16647000000023 39.6588499999998, 26.17096999999916 39.673000000000684, 26.174849999999424 39.68579999999929, 26.17175999999938 39.699880000000235, 26.16844999999921 39.71526000000091, 26.16566000000057 39.727419999999256, 26.163909999999305 39.73836999999918, 26.15083000000061 39.75900000000007, 26.1585699999996 39.76888999999949, 26.16307000000046 39.777819999999394, 26.16402999999997 39.78772000000032, 26.169789999999978 39.79939000000013, 26.1752400000006 39.81299000000041, 26.17556999999948 39.821519999999566, 26.17862000000065 39.82900999999953, 26.1839700000001 39.84325000000001, 26.18786999999986 39.85605000000038, 26.197190000000774 39.866749999999286, 26.20651999999984 39.877440000000206, 26.215019999999697 39.88805999999926, 26.221209999999758 39.89715000000069, 26.227300000000582 39.90688000000057, 26.23895000000084 39.919099999999275, 26.246619999999837 39.929640000000404, 26.256709999999657 39.941059999999254, 26.271720000000585 39.95358999999928, 26.28442999999976 39.964599999999336, 26.290209999999263 39.97103000000061, 26.301760000000286 39.97864999999922, 26.310059999999794 39.98531000000014, 26.326670000000433 39.99863999999974))",670,0,0,0,0,0,0,0,0.30579246,BAmap56,0,0,,RL,,,,,,0,0,0,rbelange,,R
ba_roads_clean.5,"MULTILINESTRING ((26.497160000000804 40.04578000000038, 26.502809999999954 40.03125, 26.508990000000267 40.01872999999978, 26.511130000000776 40.01042000000052, 26.516069999999672 40.00041000000056, 26.51836000000003 39.98558000000048, 26.52079000000049 39.9753299999993, 26.52385999999933 39.96645999999964, 26.529089999999997 39.95450999999957, 26.535610000000815 39.94528999999966, 26.54768999999942 39.93855000000076, 26.562379999999393 39.93137999999999, 26.581449999999677 39.92330000000038, 26.594849999999497 39.913399999999456, 26.60425000000032 39.9018300000007, 26.613750000000437 39.889610000000175, 26.621279999999388 39.879179999999906, 26.630769999999757 39.86695999999938, 26.643739999999525 39.84851999999955, 26.659019999999146 39.83158999999978, 26.669040000000678 39.82137999999941, 26.68126999999913 39.81333000000086, 26.698899999999412 39.80314999999973, 26.711960000000545 39.795169999999416, 26.72270000000026 39.7856699999993, 26.730670000000828 39.77201000000059, 26.733980000000884 39.76120000000083, 26.734049999999115 39.74944999999934, 26.731809999999314 39.728039999999964, 26.729409999999916 39.710189999999784, 26.725399999999354 39.69742000000042, 26.723190000000614 39.678280000000086, 26.721879999999146 39.664450000000215, 26.71668999999929 39.64831000000049, 26.713620000000446 39.63496999999916, 26.712859999999637 39.62314999999944, 26.712929999999687 39.611399999999776, 26.71354000000065 39.601660000000265, 26.716019999999844 39.59078000000045, 26.7181700000001 39.57072999999946))",671,0,0,0,0,0,0,0,0.57940294,BAmap56,0,0,,RL,,,,,,0,0,0,rbelange,,R
ba_roads_clean.6,"MULTILINESTRING ((26.360570000000735 40.04889000000003, 26.3478099999993 40.03537999999935, 26.33787999999913 40.02564999999959, 26.329639999999927 40.01255999999921, 26.326670000000433 39.99863999999974, 26.32438000000002 39.98374999999942, 26.318719999999303 39.96032000000014, 26.316539999999804 39.94180000000051, 26.31720999999925 39.92682000000059, 26.318810000000667 39.91127000000051, 26.323630000000776 39.89143999999942, 26.328450000000885 39.871610000000146, 26.33201999999983 39.85428999999931, 26.334580000000642 39.843409999999494, 26.338910000000396 39.832039999999324, 26.348729999999705 39.81269000000066, 26.357210000000123 39.796480000000884, 26.361300000000483 39.7811700000002, 26.36656000000039 39.76923999999963, 26.368870000000243 39.7544199999993, 26.376399999999194 39.73877999999968, 26.379680000000008 39.728619999999864, 26.386759999999413 39.710329999999885, 26.393439999999828 39.694610000000466, 26.411019999999553 39.657680000000255, 26.424590000000535 39.63018999999986, 26.43145000000004 39.61319000000003, 26.437599999999293 39.600689999999304, 26.44585999999981 39.59100000000035, 26.44664999999992 39.58584999999954, 26.453240000000733 39.57601000000068, 26.462649999999485 39.569690000000264, 26.471530000000712 39.56136999999944, 26.48475999999937 39.55213999999978, 26.5031199999994 39.54795000000013, 26.514429999999265 39.545720000000074, 26.52759999999944 39.54235999999946, 26.551919999999996 39.54327999999998))",672,0,0,0,0,0,0,0,0.62263224,BAmap56,0,1,,RL,,,,,,0,0,0,rbelange,,R
ba_roads_clean.7,"MULTILINESTRING ((27.334609999999884 38.18478999999934, 27.3459899999998 38.177999999999884, 27.354820000000473 38.17564999999922, 27.37724999999955 38.17908999999963, 27.39499000000069 38.17850999999973, 27.414189999999508 38.18166999999994, 27.431650000000445 38.18312999999944, 27.449769999999262 38.18462999999974, 27.47313000000031 38.18606, 27.48171000000002 38.19038999999975, 27.490359999999782 38.19419999999991, 27.500850000000355 38.194030000000566, 27.516449999999168 38.19481000000087, 27.53048999999919 38.197509999999966, 27.540639999999257 38.19988999999987, 27.551369999999224 38.202839999999924, 27.56608000000051 38.20043000000078, 27.576639999999315 38.19974999999977, 27.586730000000898 38.20263999999952, 27.595789999999397 38.203380000000834, 27.608000000000175 38.21004999999968, 27.61710999999923 38.215439999999944, 27.632770000000164 38.22083999999995, 27.652130000000398 38.222929999999906, 27.66656999999941 38.22255000000041, 27.682839999999487 38.21817999999985, 27.69328999999925 38.213340000000244, 27.70691000000079 38.20411000000058, 27.715210000000297 38.19549000000006, 27.723910000000615 38.1838000000007, 27.729820000000473 38.17344000000048, 27.735070000000633 38.168180000000575))",673,0,0,0,0,0,0,0,0.43318767,BAmap56,0,0,,R,,,,,,0,0,0,,,R
ba_roads_clean.8,"MULTILINESTRING ((26.974529999999504 40.96891999999934, 26.967500000000655 40.96106999999938, 26.966309999999794 40.95061999999962, 26.96422999999959 40.9369800000004, 26.96154999999999 40.92742999999973, 26.960370000000694 40.91697000000022, 26.956490000000485 40.90629000000081, 26.937340000000404 40.89740999999958, 26.92193000000043 40.890910000000076, 26.898880000000645 40.889970000000176, 26.873129999999946 40.88879000000088, 26.85261999999966 40.88909000000058, 26.811320000000705 40.882410000000164, 26.779160000000047 40.878570000000764, 26.752379999999903 40.875200000000405, 26.724099999999453 40.87271999999939, 26.69568000000072 40.87125999999989, 26.65813999999955 40.866910000000644, 26.618710000000647 40.85719000000063, 26.579130000000077 40.84849000000031, 26.530619999999544 40.83584999999948, 26.48380999999972 40.82127000000037, 26.444439999999304 40.81149000000005, 26.415829999999914 40.802669999999125, 26.381380000000718 40.79641000000083, 26.34859999999935 40.788220000000365, 26.31216999999924 40.785900000000765, 26.277400000000853 40.78165000000081, 26.2498599999999 40.7749500000009, 26.228699999999662 40.770909999999276, 26.20166000000063 40.761130000000776, 26.179669999999533 40.753889999999956, 26.14208999999937 40.75035000000025, 26.119940000000497 40.744119999999384, 26.085220000000845 40.731509999999616))",677,0,0,0,0,0,0,0,0.96032509,BAmap51,1,0,,R,,,,,,0,0,0,,,
ba_roads_clean.9,"MULTILINESTRING ((26.14208999999937 40.75035000000025, 26.147139999999126 40.76118999999926, 26.151519999999437 40.7761100000007, 26.153560000000653 40.78873999999996, 26.147370000000592 40.80162999999993, 26.14603999999963 40.809800000000905, 26.13800000000083 40.825629999999364, 26.132299999999304 40.83546000000024, 26.125589999999647 40.843119999999544, 26.106610000000728 40.85066000000006, 26.085610000000088 40.85384999999951, 26.06358999999975 40.854880000000776, 26.04341999999997 40.861259999999675))",678,0,0,0,0,0,0,0,0.18951779,BAmap51,1,0,,R,,,,,,0,0,0,,,
ba_roads_clean.10,"MULTILINESTRING ((26.265760000000228 40.94328999999925, 26.27205999999933 40.96356999999989, 26.274170000000595 40.98450000000048, 26.270549999999275 41.00698000000011, 26.27604000000065 41.03237000000081, 26.28225999999995 41.07027999999991, 26.293369999999413 41.10345000000052, 26.300240000000485 41.1289799999995, 26.305060000000594 41.1501700000008, 26.306319999999687 41.16791999999987, 26.3065600000009 41.183499999999185, 26.312910000000556 41.20378999999957, 26.31314999999995 41.219380000000456, 26.316469999999754 41.241470000000845))",680,0,0,0,0,0,0,0,0.30515287,BAmap51,1,0,,R,,,,,,0,0,0,,,
